Names	total	elements
		ZNF462
		ENPP6
		ERVWE1
		RRM2B
		TMEFF1
		OR1L4
		FLJ32065
		FAM107A
		FAM115A
		EGLN3
		PITX3
		ZNF77
		KLK1
		MALAT1
		C6orf68
		CLEC4A
		CPSF4
		OR52N2
		SNORA59B
		JUB
		WNT4
		CSN2
		AKR1C3
		GKAP1
		KCTD12
		SFT2D1
		MIR302D
		CNIH3
		ZNF37A
		MFNG
		KCNJ5
		KRTAP21-1
		PFTK2
		SAPS1
		KPRP
		SIGLEC7
		GPC6
		MCF2L2
		FLJ32679
		RNU12
		MEX3C
		ANKRD55
		CASP2
		ATCAY
		LRRC37A
		TMEM31
		NXPH1
		AR
		SESN2
		HNRNPL
		MYO18B
		RUNDC3A
		CASP12
		FJX1
		MIR30C1
		NUDCD1
		HEYL
		DPP10
		ATP6V1B1
		CDKAL1
		CDH5
		TTC38
		MBOAT2
		RBL1
		CMTM7
		OR10A7
		FLJ43681
		CAMK2N2
		HLX
		PPIL6
		SGPP1
		MIR663B
		ZNF638
		ACTN4
		UTP20
		ZNF684
		PRSS38
		TACC2
		NCF1C
		RBM15
		OR2B6
		TECTA
		IMP4
		PADI1
		DKFZP434A062
		CCDC88B
		ARRDC2
		TFAMP1
		C17orf50
		NUDT17
		OR5D14
		SUSD2
		AK3L1
		ANRIL
		PTPN20B
		ARL4A
		GPR153
		BSN
		CAND1
		ENTPD3
		KIAA1919
		CDC14A
		CNN1
		SIGLEC9
		CPLX4
		TOP1P2
		SFRS1
		MRPL52
		DUX4
		SCUBE3
		C1orf174
		MTRR
		PLEKHO1
		SERPINB9
		AVPR1B
		ITGB1BP2
		ALDH18A1
		TPI1
		MSH6
		HECTD2
		EMP2
		IP6K1
		TRIM41
		CHCHD9
		INSRR
		PDE6C
		DMRT3
		GSDMA
		ENOSF1
		FAM167B
		KL
		WBSCR22
		RACGAP1
		ERCC-00144
		RAB35
		OTUD6B
		TMEM117
		MGC57359
		SDHAP2
		FAM90A16
		DDX39
		GUCA1B
		FLJ42289
		SLC17A3
		ZZEF1
		FUCA2
		MAPRE1
		LRRK2
		KIAA0355
		KDM5A
		USP19
		PPEF2
		TMEM33
		PPP1R2P3
		WDR62
		NOMO1
		FAM71E2
		CBFA2T2
		CEL
		PIGP
		ITPRIPL2
		ADAMTS2
		COLEC11
		SNORD116-4
		MIR450A2
		NKTR
		VSIG8
		C14orf82
		IL27RA
		OR10J3
		MIR211
		CBX6
		PPP1R12A
		VAMP4
		TPMT
		ATP1A1
		SORCS2
		LILRP2
		ZNF747
		PLK5P
		ECE1
